01601402101;"п Алейский"
01601408101;"с Безголосово"
01601413101;"с Большепанюшево"
01601417101;"с Боровское"
01601420101;"с Дружба"
01601423101;"с Толстая Дуброва"
01601426101;"п Заветы Ильича"
01601432101;"с Кашино"
01601438101;"с Кировское"
01601440101;"п Бориха"
01601460101;"с Малиновка"
01601464101;"с Моховское"
01601468101;"с Осколково"
01601473101;"с Плотава"
01601475101;"с Савинка"
01601477101;"п Совхозный"
01601485101;"с Урюпино"
01601496101;"с Вавилон"
01601498101;"с Красный Яр"
01602405101;"с Ая"
01602407101;"с Алтайское"
01602412101;"с Белое"
01602423101;"с Куяган"
01602427101;"с Куяча"
01602435101;"с Макарьевка"
01602446101;"с Нижнекаменка"
01602457101;"с Сараса"
01602468101;"с Россоши"
01602479101;"с Старобелокуриха"
01603407101;"с Баево"
01603416101;"с Верх-Пайва"
01603419101;"с Верх-Чуманка"
01603437101;"с Нижнечуманка"
01603455101;"с Паклино"
01603458101;"с Плотава"
01603469101;"с Прослауха"
01603480101;"с Ситниково"
01604410101;"с Большеугренево"
01604415101;"с Верх-Бехтемир"
01604417101;"с Верх-Катунское"
01604422101;"с Енисейское"
01604424101;"п Заря"
01604434101;"с Стан-Бехтемир"
01604437101;"с Лесное"
01604455101;"с Малоенисейское"
01604459101;"с Малоугренево"
01604464101;"с Новиково"
01604470101;"с Первомайское"
01604480101;"с Светлоозёрское"
01604483101;"с Сростки"
01604488101;"с Усятское"
01604495101;"с Шебалино"
01605151051;"рп Благовещенка"
01605157051;"рп Степное Озеро"
01605406101;"с Алексеевка"
01605420101;"с Глядень"
01605436101;"с Леньки"
01605447101;"с Нижний Кучук"
01605452101;"с Николаевка"
01605456101;"п Новокулундинка"
01605458101;"с Орлеан"
01605461101;"с Суворовка"
01605483101;"с Шимолино"
01605494101;"с Яготино"
01606411101;"с Бурла"
01606422101;"с Михайловка"
01606430101;"с Новоандреевка"
01606433101;"с Новопесчаное"
01606444101;"с Новосельское"
01606455101;"с Орехово"
01606466101;"с Партизанское"
01606470101;"с Лесное"
01606477101;"с Устьянка"
01607403101;"с Акутиха"
01607405101;"с Быстрый Исток"
01607411101;"с Верх-Ануйское"
01607422101;"с Верх-Озёрное"
01607433101;"с Новопокровка"
01607437101;"с Приобское"
01607444101;"с Усть-Ануй"
01607455101;"с Хлеборобное"
01608410101;"п Берёзовский"
01608414101;"с Бор-Форпост"
01608421101;"с Волчиха"
01608423101;"с Вострово"
01608430101;"п Коминтерн"
01608434101;"с Малышев Лог"
01608445101;"с Новокормиха"
01608456101;"с Пятков Лог"
01608467101;"с Селивёрстово"
01608478101;"с Солоновка"
01608489101;"с Усть-Волчиха"
01609411101;"с Кругло-Семенцы"
01609422101;"с Лебяжье"
01609428101;"с Малая Шелковка"
01609433101;"с Новоегорьевское"
01609444101;"с Первомайское"
01609455101;"с Сросты"
01609466101;"с Титовка"
01609490101;"с Шубинка"
01610411101;"с Верх-Неня"
01610422101;"с Ельцовка"
01610433101;"с Мартыново"
01610444101;"с Новокаменка"
01610466101;"с Пуштулим"
01610488101;"с Черемшанка"
01611411101;"с Гилёвка"
01611416101;"с Глубокое"
01611423101;"с Гонохово"
01611434101;"с Завьялово"
01611445101;"с Камышенка"
01611456101;"п Малиновский"
01611467101;"с Овечкино"
01611469101;"с Светлое"
01611470101;"п Тумановский"
01611478101;"с Харитоново"
01611486101;"с Чернавка"
01611489101;"с Чистоозёрка"
01612409101;"с Большой Калтай"
01612412101;"с Борисово"
01612422101;"с Думчево"
01612426101;"с Залесово"
01612437101;"с Кордон"
